site	banner_key	phash	src	landing_url	width	height	first_seen_ts_utc	last_seen_ts_utc	first_seen_date	last_seen_date	days_seen	times_seen	screenshot_path	notes	is_ad	ad_score	ad_reason	ad_id
gogo.mn	gogo.mn:8da1767a2ca70bd8	8da1767a2ca70bd8	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/7424e65a-4a2f-421b-b0af-234409514d5a/68ba3ae4f067562fb0b6a40a_compressed.webp	https://gogo.mn	1100	483	2025-09-09T04:01:39+00:00	2025-09-15T08:02:02+00:00	2025-09-09	2025-09-15	3	11	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\gogo_1757390247_26_6b42be20.png	onpage	1	4	large,ad_host/path	
gogo.mn	gogo.mn:d26974a24cf08af7	d26974a24cf08af7	https://exchange.boost.mn/ad/web/7dbe8f1f-2042-4ec2-a583-ae72994d07d4?config=eyJvZmZzZXQiOjIsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://gogo.mn	263	270	2025-09-09T04:01:39+00:00	2025-09-15T08:02:02+00:00	2025-09-09	2025-09-15	3	11	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\gogo_1757390248_32_020787f6.png	iframe	1	9	iframe,large,std_size,ad_host/path,ad_word	
gogo.mn	gogo.mn:b3cc33cc33cc338c	b3cc33cc33cc338c	https://exchange.boost.mn/ad/web/0dd86156-4bad-4edb-b3d3-899fccc948ff?config=eyJvZmZzZXQiOjcsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://gogo.mn	690	245	2025-09-09T04:01:39+00:00	2025-09-15T08:02:03+00:00	2025-09-09	2025-09-15	3	15	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\gogo_1757390250_132_e2d53d38.png	iframe	1	7	iframe,large,ad_host/path,ad_word	
gogo.mn	gogo.mn:8000000000000000	8000000000000000	https://exchange.boost.mn/ad/web/e0118a9c-8eb3-4dbd-8adb-661ecb6eccd7?config=eyJvZmZzZXQiOjgsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://gogo.mn	690	134	2025-09-09T04:01:39+00:00	2025-09-15T08:02:03+00:00	2025-09-09	2025-09-15	3	13	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\gogo_1757390251_146_b1382d91.png	iframe	1	7	iframe,large,ad_host/path,ad_word	
ikon.mn	ikon.mn:ed9994d6e6c11a1a	ed9994d6e6c11a1a	/ad/IKONMN_A1?1757390289	https://ikon.mn	680	100	2025-09-09T04:01:39+00:00	2025-09-10T08:49:49+00:00	2025-09-09	2025-09-10	2	10	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\ikon_1757390366_7_34bf984b.png	iframe	1	4	iframe,large,ad_word	
ikon.mn	ikon.mn:e0ea80e7cfcf20d8	e0ea80e7cfcf20d8	https://content.ikon.mn/news/2024/9/4/byyq0w_MPA_PHOTO_2024-1375_h450.jpg	https://ikon.mn/n/3hm2	450	284	2025-09-09T04:01:39+00:00	2025-09-09T04:01:39+00:00	2025-09-09	2025-09-09	1	1	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\ikon_1757390366_8_3b7080e4.png	onpage	0	1	large	
ikon.mn	ikon.mn:c5d418d5fe0b249b	c5d418d5fe0b249b	https://content.ikon.mn/news/2025/9/9/l8ob7y_PR_News_tb_x220.jpg	https://ikon.mn	220	248	2025-09-09T04:01:39+00:00	2025-09-09T04:01:39+00:00	2025-09-09	2025-09-09	1	1	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\ikon_1757390367_9_a5d3f4ee.png	onpage	0	1	large	
ikon.mn	ikon.mn:d3a10fca30df0c3e	d3a10fca30df0c3e	https://content.ikon.mn/news/2025/9/8/epd8l5_site_1_x220.jpg	https://ikon.mn	220	248	2025-09-09T04:01:39+00:00	2025-09-09T04:01:39+00:00	2025-09-09	2025-09-09	1	1	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\ikon_1757390367_10_50cd9056.png	onpage	0	1	large	
ikon.mn	ikon.mn:ed1351da246399ad	ed1351da246399ad	https://content.ikon.mn/news/2025/9/9/jrqyvn_1_x220.jpg	https://ikon.mn	220	248	2025-09-09T04:01:39+00:00	2025-09-15T08:03:25+00:00	2025-09-09	2025-09-15	2	2	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\ikon_1757390367_11_5e545d93.png	onpage	0	1	large	
ikon.mn	ikon.mn:9ec9570be5a4780d	9ec9570be5a4780d	https://content.ikon.mn/news/2022/11/19/6gwwc7_MPA_PHOTO_2022-11-19_x220.jpg	https://ikon.mn	220	248	2025-09-09T04:01:39+00:00	2025-09-09T04:01:39+00:00	2025-09-09	2025-09-09	1	1	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\ikon_1757390367_12_f562c50c.png	onpage	0	1	large	
